@edptoastimage.png        | 0.7 kb
APHostClient.dll          | 54.5 kb
APHostRes.dll             | 31.0 kb
APHostService.dll         | 334.0 kb
apisetschema.dll          | 91.3 kb
ApnDatabase.xml           | 404.8 kb
AppCapture.dll            | 84.5 kb
AppContracts.dll          | 581.0 kb
apphelp.dll               | 468.5 kb
Apphlpdm.dll              | 34.5 kb
appidapi.dll              | 73.7 kb
appidcertstorecheck.exe   | 19.0 kb
appidpolicyconverter.exe  | 157.5 kb
AppIdPolicyEngineApi.dll  | 411.5 kb
appidsvc.dll              | 44.0 kb
appinfo.dll               | 92.5 kb
ApplicationFrame.dll      | 1132.0 kb
ApplicationFrameHost.exe  | 42.4 kb
AppLockerCSP.dll          | 345.0 kb
appmgmts.dll              | 195.5 kb
appmgr.dll                | 450.0 kb
AppointmentActivation.dll | 119.0 kb
AppointmentApis.dll       | 684.0 kb
appraiser.dll             | 1541.8 kb
AppReadiness.dll          | 492.5 kb
apprepapi.dll             | 281.0 kb
apprepsync.dll            | 373.0 kb
appsruprov.dll            | 79.0 kb
appwiz.cpl                | 795.0 kb
AppxAllUserStore.dll      | 211.3 kb
AppXApplicabilityBlob.dll | 213.0 kb
AppxApplicabilityEngine.dll | 593.0 kb
AppXDeploymentClient.dll  | 426.5 kb
AppXDeploymentExtensions.dll | 1789.5 kb
AppXDeploymentServer.dll  | 2105.5 kb
AppxPackaging.dll         | 959.0 kb
AppxProvisioning.xml      | 2.2 kb
AppxSip.dll               | 158.0 kb
AppxStreamingDataSourcePS.dll | 12.5 kb
AppxSysprep.dll           | 85.5 kb
ARP.EXE                   | 25.5 kb
asferror.dll              | 3.0 kb
aspnet_counters.dll       | 29.7 kb
asycfilt.dll              | 89.5 kb
at.exe                    | 29.0 kb
AtBroker.exe              | 53.0 kb
atl.dll                   | 99.5 kb
atl100.dll                | 154.8 kb
atlthunk.dll              | 47.5 kb
atmfd.dll                 | 357.0 kb
atmlib.dll                | 44.5 kb
attrib.exe                | 20.5 kb
audiodg.exe               | 361.2 kb
AudioEndpointBuilder.dll  | 269.0 kb
AudioEng.dll              | 504.9 kb
AUDIOKSE.dll              | 398.6 kb
audioLibVc.dll            | 102.8 kb
AudioSes.dll              | 524.2 kb
audiosrv.dll              | 1038.5 kb
auditcse.dll              | 201.5 kb
AuditNativeSnapIn.dll     | 219.0 kb
auditpol.exe              | 65.0 kb
AuditPolicyGPInterop.dll  | 73.5 kb
auditpolmsg.dll           | 94.0 kb
AuthBroker.dll            | 143.0 kb
AuthBrokerUI.dll          | 93.0 kb
AuthExt.dll               | 93.0 kb
authfwcfg.dll             | 478.5 kb
AuthFWGP.dll              | 300.5 kb
AuthFWSnapin.dll          | 5000.5 kb
AuthFWWizFwk.dll          | 112.0 kb
AuthHost.exe              | 138.2 kb
AuthHostProxy.dll         | 19.0 kb
authui.dll                | 2297.0 kb
authz.dll                 | 271.0 kb
autochk.exe               | 923.5 kb
autoconv.exe              | 910.5 kb
autofmt.exe               | 879.5 kb
autoplay.dll              | 152.0 kb
AutoWorkplace.exe         | 44.5 kb
AutoWorkplace.exe.config  | 0.4 kb
AutoWorkplaceN.dll        | 10.0 kb
avicap32.dll              | 78.0 kb
avifil32.dll              | 115.5 kb
avrt.dll                  | 31.8 kb
AxInstSv.dll              | 111.5 kb
AxInstUI.exe              | 59.0 kb
azman.msc                 | 40.6 kb
azroles.dll               | 883.5 kb
azroleui.dll              | 446.5 kb
AzSqlExt.dll              | 31.5 kb
AzureSettingSyncProvider.dll | 842.5 kb
baaupdate.exe             | 110.0 kb
BackgroundMediaPolicy.dll | 47.0 kb
backgroundTaskHost.exe    | 19.3 kb
BackgroundTransferHost.exe | 36.0 kb
BarcodeProvisioningPlugin.dll | 76.5 kb
basecsp.dll               | 192.8 kb
basesrv.dll               | 64.0 kb
batmeter.dll              | 2016.5 kb
bcastdvr.exe              | 405.0 kb
bcastdvr.proxy.dll        | 42.5 kb
bcd.dll                   | 95.4 kb
bcdboot.exe               | 173.0 kb
bcdedit.exe               | 408.0 kb
bcdprov.dll               | 81.5 kb
bcdsrv.dll                | 87.5 kb
BCP47Langs.dll            | 404.5 kb
bcrypt.dll                | 155.9 kb
bcryptprimitives.dll      | 421.2 kb
bdaplgin.ax               | 98.0 kb
bdechangepin.exe          | 353.0 kb
BdeHdCfg.exe              | 128.5 kb
BdeHdCfgLib.dll           | 105.0 kb
bderepair.dll             | 47.5 kb
bdesvc.dll                | 352.0 kb
BdeSysprep.dll            | 11.5 kb
bdeui.dll                 | 34.0 kb
BdeUISrv.exe              | 53.5 kb
bdeunlock.exe             | 291.6 kb
BFE.DLL                   | 775.5 kb
bi.dll                    | 26.0 kb
bidispl.dll               | 56.0 kb
BingASDS.dll              | 285.5 kb
BingMaps.dll              | 7030.5 kb
BingOnlineServices.dll    | 1017.5 kb
BioCredProv.dll           | 224.0 kb
bisrv.dll                 | 574.0 kb
BitLockerDeviceEncryption.exe | 116.5 kb
BitLockerWizard.exe       | 100.0 kb
BitLockerWizardElev.exe   | 100.0 kb
bitsadmin.exe             | 206.5 kb
bitsigd.dll               | 57.0 kb
bitsperf.dll              | 25.5 kb
BitsProxy.dll             | 55.5 kb
biwinrt.dll               | 185.0 kb
blackbox.dll              | 778.0 kb
BlbEvents.dll             | 76.5 kb
blbres.dll                | 3.0 kb
blb_ps.dll                | 65.5 kb
BluetoothApis.dll         | 102.0 kb
BluetoothDesktopHandlers.dll | 44.0 kb
boot.sdi                  | 3096.0 kb
bootcfg.exe               | 86.5 kb
bootim.exe                | 13.5 kb
BootMenuUX.dll            | 183.0 kb
bootsect.exe              | 109.3 kb
bootstr.dll               | 3.5 kb
bootux.dll                | 3663.0 kb
BOOTVID.DLL               | 24.8 kb
bopomofo.uce              | 22.4 kb
bridgeres.dll             | 3.0 kb
bridgeunattend.exe        | 21.0 kb
BrokerLib.dll             | 233.5 kb
browcli.dll               | 57.0 kb
browser.dll               | 131.5 kb
browserbroker.dll         | 88.5 kb
BrowserSettingSync.dll    | 175.5 kb
browser_broker.exe        | 25.8 kb
browseui.dll              | 14.0 kb
bthci.dll                 | 91.5 kb
BthHFSrv.dll              | 318.5 kb
BthMtpContextHandler.dll  | 33.5 kb
bthpanapi.dll             | 31.5 kb
BthpanContextHandler.dll  | 92.0 kb
bthprops.cpl              | 218.0 kb
BthRadioMedia.dll         | 80.5 kb
bthserv.dll               | 89.0 kb
BthTelemetry.dll          | 32.0 kb
bthudtask.exe             | 37.5 kb
btpanui.dll               | 72.0 kb
Bubbles.scr               | 787.0 kb
BWContextHandler.dll      | 54.0 kb
ByteCodeGenerator.exe     | 37.5 kb
cabinet.dll               | 140.8 kb
cabview.dll               | 159.5 kb
cacls.exe                 | 32.0 kb
calc.exe                  | 32.0 kb
CallButtons.dll           | 94.5 kb
CallButtons.ProxyStub.dll | 24.0 kb
CallHistoryClient.dll     | 157.5 kb
CameraCaptureUI.dll       | 112.5 kb
CameraSettingsUIHost.exe  | 31.8 kb
capauthz.dll              | 96.4 kb
capiprovider.dll          | 61.0 kb
capisp.dll                | 23.0 kb
CastLaunch.dll            | 29.0 kb
CastSrv.exe               | 63.6 kb
catsrv.dll                | 468.5 kb
catsrvps.dll              | 48.5 kb
catsrvut.dll              | 511.5 kb
CbtBackgroundManagerPolicy.dll | 31.5 kb
cca.dll                   | 95.0 kb
cdd.dll                   | 213.5 kb
cdosys.dll                | 1067.5 kb
cdp.dll                   | 2775.5 kb
cdpreference.exe          | 58.0 kb
cdpsvc.dll                | 281.0 kb
CellularAPI.dll           | 687.5 kb
cemapi.dll                | 238.0 kb
cero.rs                   | 55.0 kb
certca.dll                | 752.0 kb
certcli.dll               | 449.0 kb
certCredProvider.dll      | 323.0 kb
certenc.dll               | 65.5 kb
CertEnroll.dll            | 2844.5 kb
CertEnrollCtrl.exe        | 55.5 kb
CertEnrollUI.dll          | 323.0 kb
certlm.msc                | 61.6 kb
certmgr.dll               | 2186.0 kb
certmgr.msc               | 61.6 kb
CertPolEng.dll            | 84.5 kb
certprop.dll              | 187.5 kb
certreq.exe               | 430.5 kb
certutil.exe              | 1384.5 kb
cewmdm.dll                | 260.0 kb
cfgbkend.dll              | 77.5 kb
cfgmgr32.dll              | 258.3 kb
CfgSPPolicy.dll           | 126.5 kb
cfmifs.dll                | 40.8 kb
cfmifsproxy.dll           | 14.5 kb
Chakra.dll                | 7642.5 kb
Chakradiag.dll            | 747.0 kb
Chakrathunk.dll           | 137.0 kb
change.exe                | 17.0 kb
changepk.exe              | 85.3 kb
charmap.exe               | 178.5 kb
chartv.dll                | 131.5 kb
ChatApis.dll              | 709.5 kb
chcp.com                  | 14.5 kb
CheckNetIsolation.exe     | 27.0 kb
chglogon.exe              | 22.0 kb
chgport.exe               | 24.5 kb
chgusr.exe                | 21.5 kb
chkdsk.exe                | 25.5 kb
chkntfs.exe               | 20.5 kb
chkwudrv.dll              | 25.5 kb
choice.exe                | 33.5 kb
chs_singlechar_pinyin.dat | 163.7 kb
CHxReadingStringIME.dll   | 13.0 kb
ci.dll                    | 595.3 kb
cic.dll                   | 199.0 kb
cipher.exe                | 44.5 kb
CIRCoInst.dll             | 11.0 kb
clb.dll                   | 18.0 kb
clbcatq.dll               | 647.2 kb
cleanmgr.exe              | 202.0 kb
clfsw32.dll               | 75.0 kb
cliconfg.dll              | 84.5 kb
cliconfg.exe              | 30.0 kb
cliconfg.rll              | 37.0 kb
clip.exe                  | 29.5 kb
ClipboardServer.dll       | 174.0 kb
Clipc.dll                 | 76.2 kb
ClipSVC.dll               | 610.4 kb
ClipUp.exe                | 1101.7 kb
cloudAP.dll               | 192.5 kb
CloudDomainJoinAUG.dll    | 73.5 kb
CloudDomainJoinDataModelServer.dll | 124.5 kb
CloudExperienceHost.dll   | 225.3 kb
CloudExperienceHostBroker.dll | 153.8 kb
CloudExperienceHostBroker.exe | 68.8 kb
CloudExperienceHostCommon.dll | 142.3 kb
CloudExperienceHostUser.dll | 154.3 kb
CloudNotifications.exe    | 55.0 kb
CloudStorageWizard.exe    | 192.2 kb
clrhost.dll               | 16.5 kb
clusapi.dll               | 634.0 kb
cmcfg32.dll               | 37.0 kb
cmd.exe                   | 228.5 kb
cmdext.dll                | 13.5 kb
cmdial32.dll              | 505.5 kb
cmdkey.exe                | 20.0 kb
cmdl32.exe                | 51.0 kb
cmgrcspps.dll             | 41.5 kb
cmifw.dll                 | 94.5 kb
cmintegrator.dll          | 36.5 kb
cmlua.dll                 | 44.0 kb
cmmon32.exe               | 42.0 kb
cmpbk32.dll               | 29.0 kb
cmstp.exe                 | 92.0 kb
cmstplua.dll              | 20.0 kb
cmutil.dll                | 57.0 kb
cngcredui.dll             | 107.5 kb
cngprovider.dll           | 64.5 kb
cnvfat.dll                | 39.5 kb
cob-au.rs                 | 41.0 kb
cofire.exe                | 23.0 kb
cofiredm.dll              | 32.5 kb
colbact.dll               | 80.5 kb
COLORCNV.DLL              | 200.3 kb
colorcpl.exe              | 85.5 kb
colorui.dll               | 608.0 kb
combase.dll               | 2545.7 kb
comcat.dll                | 10.0 kb
comctl32.dll              | 663.8 kb
comdlg32.dll              | 1039.0 kb
comexp.msc                | 121.2 kb
coml2.dll                 | 432.3 kb
CommsTypeHelperUtil_ca.dll | 15.5 kb
comp.exe                  | 25.5 kb
compact.exe               | 44.0 kb
CompatTelRunner.exe       | 132.8 kb
compmgmt.msc              | 110.6 kb
CompMgmtLauncher.exe      | 89.0 kb
CompPkgSup.dll            | 28.3 kb
compstui.dll              | 303.0 kb
ComputerDefaults.exe      | 39.5 kb
comrepl.dll               | 112.5 kb
comres.dll                | 1268.0 kb
comsnap.dll               | 290.0 kb
comsvcs.dll               | 1609.5 kb
comuid.dll                | 820.0 kb
concrt140.dll             | 324.8 kb
concrt140d.dll            | 770.7 kb
CONEQMSAPOGUILibrary.dll  | 119.5 kb
configmanager2.dll        | 334.5 kb
configurationclient.dll   | 894.0 kb
ConfigureExpandedStorage.dll | 65.0 kb
conhost.exe               | 46.0 kb
ConhostV1.dll             | 375.5 kb
ConhostV2.dll             | 332.0 kb
connect.dll               | 1354.0 kb
ConnectedAccountState.dll | 51.5 kb
connectedsearch-appcmd.searchconnector-ms | 0.5 kb
connectedsearch-contacts.searchconnector-ms | 0.5 kb
connectedsearch-history.searchconnector-ms | 0.5 kb
connectedsearch-music.searchconnector-ms | 0.5 kb
connectedsearch-paths.searchconnector-ms | 0.5 kb
connectedsearch-protocol.searchconnector-ms | 0.5 kb
connectedsearch-results.searchconnector-ms | 10.8 kb
connectedsearch-suggestions.searchconnector-ms | 7.6 kb
connectedsearch-zeroinput.searchconnector-ms | 7.0 kb
consent.exe               | 136.8 kb
ConsentUX.dll             | 109.5 kb
console.dll               | 101.5 kb
ConsoleLogon.dll          | 270.0 kb
ContactActivation.dll     | 56.0 kb
ContactApis.dll           | 916.5 kb
ContactHarvesterDS.dll    | 185.5 kb
ContentDeliveryManager.Utilities.dll | 258.3 kb
control.exe               | 115.0 kb
convert.exe               | 21.5 kb
coredpus.dll              | 176.5 kb
CoreMessaging.dll         | 747.0 kb
CoreMmRes.dll             | 16.0 kb
CoreUIComponents.dll      | 2590.6 kb
correngine.dll            | 87.5 kb
Cortana.Persona.dll       | 173.5 kb
CortanaMapiHelper.dll     | 209.5 kb
CortanaMapiHelper.ProxyStub.dll | 16.5 kb
CourtesyEngine.dll        | 131.0 kb
CPFilters.dll             | 879.5 kb
CredentialMigrationHandler.dll | 46.5 kb
CredentialUIBroker.exe    | 70.1 kb
CredProvDataModel.dll     | 430.0 kb
credprovhost.dll          | 234.0 kb
credprovs.dll             | 252.5 kb
credssp.dll               | 23.0 kb
credui.dll                | 185.0 kb
credwiz.exe               | 37.0 kb
crypt32.dll               | 1804.2 kb
cryptbase.dll             | 30.3 kb
cryptcatsvc.dll           | 119.5 kb
cryptdlg.dll              | 31.0 kb
cryptdll.dll              | 68.7 kb
cryptext.dll              | 70.5 kb
cryptnet.dll              | 169.0 kb
cryptngc.dll              | 312.5 kb
CryptoWinRT.dll           | 370.5 kb
cryptsp.dll               | 79.3 kb
cryptsvc.dll              | 77.0 kb
crypttpmeksvc.dll         | 56.5 kb
cryptui.dll               | 588.0 kb
cryptuiwizard.dll         | 373.5 kb
cryptxml.dll              | 125.1 kb
cscapi.dll                | 51.0 kb
cscdll.dll                | 29.0 kb
CscMig.dll                | 144.3 kb
cscobj.dll                | 297.0 kb
cscript.exe               | 173.0 kb
cscsvc.dll                | 718.0 kb
cscui.dll                 | 769.0 kb
csrr.rs                   | 43.5 kb
csrsrv.dll                | 57.0 kb
csrss.exe                 | 17.7 kb
CSystemEventsBrokerClient.dll | 31.5 kb
ctfmon.exe                | 10.5 kb
cttune.exe                | 320.5 kb
cttunesvr.exe             | 42.5 kb
CX64APO.dll               | 1564.4 kb
C_037.NLS                 | 64.5 kb
C_10000.NLS               | 64.5 kb
C_10001.NLS               | 159.0 kb
C_10002.NLS               | 191.0 kb
C_10003.NLS               | 173.5 kb
C_10004.NLS               | 64.5 kb
C_10005.NLS               | 64.5 kb
C_10006.NLS               | 64.5 kb
C_10007.NLS               | 64.5 kb
C_10008.NLS               | 169.5 kb
C_10010.NLS               | 64.5 kb
C_10017.NLS               | 64.5 kb
C_10021.NLS               | 64.5 kb
C_10029.NLS               | 64.5 kb
C_10079.NLS               | 64.5 kb
C_10081.NLS               | 64.5 kb
C_10082.NLS               | 64.5 kb
C_1026.NLS                | 64.5 kb
C_1047.NLS                | 64.5 kb
C_1140.NLS                | 64.5 kb
C_1141.NLS                | 64.5 kb
C_1142.NLS                | 64.5 kb
C_1143.NLS                | 64.5 kb
C_1144.NLS                | 64.5 kb
C_1145.NLS                | 64.5 kb
C_1146.NLS                | 64.5 kb
C_1147.NLS                | 64.5 kb
C_1148.NLS                | 64.5 kb
C_1149.NLS                | 64.5 kb
C_1250.NLS                | 64.5 kb
C_1251.NLS                | 64.5 kb
C_1252.NLS                | 64.5 kb
C_1253.NLS                | 64.5 kb
C_1254.NLS                | 64.5 kb
C_1255.NLS                | 64.5 kb
C_1256.NLS                | 64.5 kb
C_1257.NLS                | 64.5 kb
C_1258.NLS                | 64.5 kb
C_1361.NLS                | 185.5 kb
C_20000.NLS               | 176.0 kb
C_20001.NLS               | 182.0 kb
C_20002.NLS               | 169.5 kb
C_20003.NLS               | 181.0 kb
C_20004.NLS               | 176.0 kb
C_20005.NLS               | 183.5 kb
C_20105.NLS               | 64.5 kb
C_20106.NLS               | 64.5 kb
C_20107.NLS               | 64.5 kb
C_20108.NLS               | 64.5 kb
C_20127.NLS               | 64.5 kb
C_20261.NLS               | 136.5 kb
C_20269.NLS               | 64.5 kb
C_20273.NLS               | 64.5 kb
C_20277.NLS               | 64.5 kb
C_20278.NLS               | 64.5 kb
C_20280.NLS               | 64.5 kb
C_20284.NLS               | 64.5 kb
C_20285.NLS               | 64.5 kb
C_20290.NLS               | 64.5 kb
C_20297.NLS               | 64.5 kb
C_20420.NLS               | 64.5 kb
C_20423.NLS               | 64.5 kb
C_20424.NLS               | 64.5 kb
C_20833.NLS               | 64.5 kb
C_20838.NLS               | 64.5 kb
C_20866.NLS               | 64.5 kb
C_20871.NLS               | 64.5 kb
C_20880.NLS               | 64.5 kb
C_20905.NLS               | 64.5 kb
C_20924.NLS               | 64.5 kb
C_20932.NLS               | 176.5 kb
C_20936.NLS               | 169.5 kb
C_20949.NLS               | 173.5 kb
C_21025.NLS               | 64.5 kb
C_21027.NLS               | 64.5 kb
C_21866.NLS               | 64.5 kb
C_28591.NLS               | 64.5 kb
C_28592.NLS               | 64.5 kb
C_28593.NLS               | 64.5 kb
C_28594.NLS               | 64.5 kb
C_28595.NLS               | 64.5 kb
C_28596.NLS               | 64.5 kb
C_28597.NLS               | 64.5 kb
C_28598.NLS               | 64.5 kb
C_28599.NLS               | 64.5 kb
c_28603.nls               | 64.5 kb
C_28605.NLS               | 64.5 kb
C_437.NLS                 | 65.0 kb
C_500.NLS                 | 64.5 kb
C_708.NLS                 | 64.5 kb
C_720.NLS                 | 65.0 kb
C_737.NLS                 | 65.0 kb
C_775.NLS                 | 65.0 kb
C_850.NLS                 | 65.0 kb
C_852.NLS                 | 65.0 kb
C_855.NLS                 | 65.0 kb
C_857.NLS                 | 65.0 kb
C_858.NLS                 | 65.0 kb
C_860.NLS                 | 65.0 kb
C_861.NLS                 | 65.0 kb
C_862.NLS                 | 65.0 kb
C_863.NLS                 | 65.0 kb
C_864.NLS                 | 65.0 kb
C_865.NLS                 | 65.0 kb
C_866.NLS                 | 65.0 kb
C_869.NLS                 | 65.0 kb
C_870.NLS                 | 64.5 kb
C_874.NLS                 | 65.0 kb
C_875.NLS                 | 64.5 kb
C_932.NLS                 | 159.0 kb
C_936.NLS                 | 192.0 kb
C_949.NLS                 | 192.0 kb
C_950.NLS                 | 192.0 kb
C_G18030.DLL              | 220.5 kb
c_GSM7.DLL                | 14.5 kb
C_IS2022.DLL              | 15.5 kb
C_ISCII.DLL               | 14.0 kb
d2d1.dll                  | 5374.0 kb
d3d10.dll                 | 1211.0 kb
d3d10core.dll             | 332.0 kb
d3d10level9.dll           | 604.8 kb
d3d10warp.dll             | 2488.7 kb
d3d10_1.dll               | 181.0 kb
d3d10_1core.dll           | 372.0 kb
d3d11.dll                 | 2707.6 kb
D3D12.dll                 | 878.0 kb
d3d8thk.dll               | 14.0 kb
d3d9.dll                  | 2094.2 kb
d3dcompiler_33.dll        | 1367.4 kb
d3dcompiler_34.dll        | 1368.4 kb
d3dcompiler_35.dll        | 1939.4 kb
d3dcompiler_36.dll        | 1959.5 kb
D3DCompiler_37.dll        | 1816.5 kb
D3DCompiler_38.dll        | 1896.0 kb
D3DCompiler_39.dll        | 1897.0 kb
D3DCompiler_40.dll        | 2544.8 kb
D3DCompiler_41.dll        | 2373.4 kb
D3DCompiler_42.dll        | 2522.4 kb
D3DCompiler_43.dll        | 2466.9 kb
D3DCompiler_47.dll        | 4352.0 kb
d3dcsx_42.dll             | 5424.3 kb
d3dcsx_43.dll             | 1862.8 kb
d3dx10.dll                | 458.3 kb
d3dx10_33.dll             | 494.9 kb
d3dx10_34.dll             | 494.9 kb
d3dx10_35.dll             | 496.4 kb
d3dx10_36.dll             | 496.4 kb
d3dx10_37.dll             | 517.0 kb
d3dx10_38.dll             | 528.0 kb
d3dx10_39.dll             | 528.0 kb
d3dx10_40.dll             | 506.8 kb
d3dx10_41.dll             | 508.3 kb
d3dx10_42.dll             | 510.8 kb
d3dx10_43.dll             | 499.3 kb
d3dx11_42.dll             | 278.3 kb
d3dx11_43.dll             | 270.3 kb
d3dx9_24.dll              | 3461.2 kb
d3dx9_25.dll              | 3733.7 kb
d3dx9_26.dll              | 3679.2 kb
d3dx9_27.dll              | 3718.2 kb
d3dx9_28.dll              | 3725.7 kb
d3dx9_29.dll              | 3741.2 kb
d3dx9_30.dll              | 3835.2 kb
d3dx9_31.dll              | 3884.3 kb
d3dx9_32.dll              | 4295.3 kb
d3dx9_33.dll              | 4388.9 kb
d3dx9_34.dll              | 4390.9 kb
d3dx9_35.dll              | 4954.4 kb
d3dx9_36.dll              | 4962.5 kb
d3dx9_37.dll              | 4795.0 kb
d3dx9_38.dll              | 4874.5 kb
d3dx9_39.dll              | 4875.5 kb
d3dx9_40.dll              | 5499.3 kb
d3dx9_41.dll              | 5298.3 kb
d3dx9_42.dll              | 2417.3 kb
d3dx9_43.dll              | 2344.8 kb
dab.dll                   | 108.5 kb
dabapi.dll                | 13.5 kb
DAConn.dll                | 54.0 kb
dafBth.dll                | 164.0 kb
DafCdp.dll                | 23.0 kb
DafDnsSd.dll              | 42.0 kb
dafDockingProvider.dll    | 128.0 kb
dafpos.dll                | 227.5 kb
DafPrintProvider.dll      | 280.0 kb
dafupnp.dll               | 168.5 kb
dafWCN.dll                | 115.0 kb
dafWfdProvider.dll        | 260.0 kb
DAFWiProv.dll             | 102.0 kb
DAFWSD.dll                | 225.0 kb
DAMediaManager.dll        | 124.0 kb
DAMM.dll                  | 118.5 kb
DaOtpCredentialProvider.dll | 317.5 kb
das.dll                   | 434.5 kb
dasHost.exe               | 93.0 kb
dataclen.dll              | 28.5 kb
DataExchange.dll          | 272.5 kb
DataExchangeHost.exe      | 197.8 kb
DataSenseHandlers.dll     | 471.5 kb
DataSenseLiveTileTask.exe | 93.5 kb
datusage.dll              | 35.5 kb
davclnt.dll               | 101.0 kb
davhlpr.dll               | 26.5 kb
DavSyncProvider.dll       | 366.5 kb
dbgcore.dll               | 134.0 kb
dbgeng.dll                | 5003.0 kb
dbghelp.dll               | 1465.5 kb
DbgModel.dll              | 607.0 kb
dbnetlib.dll              | 116.0 kb
dbnmpntw.dll              | 23.0 kb
dccw.exe                  | 645.5 kb
dciman32.dll              | 14.0 kb
dcomcnfg.exe              | 11.5 kb
dcomp.dll                 | 890.3 kb
dcpapi.dll                | 52.0 kb
dcpsvc.dll                | 182.5 kb
dcpurapi.dll              | 100.5 kb
DDACLSys.dll              | 27.8 kb
DDDS.dll                  | 464.5 kb
ddodiag.exe               | 38.0 kb
DDOIProxy.dll             | 31.0 kb
DDORes.dll                | 14701.0 kb
DDPA64.dll                | 266.3 kb
DDPA64F3.dll              | 303.2 kb
ddpchunk.dll              | 222.0 kb
DDPD64A.dll               | 1919.7 kb
DDPD64AF3.dll             | 1913.7 kb
DDPO64A.dll               | 319.8 kb
DDPO64AF3.dll             | 353.6 kb
DDPP64A.dll               | 6929.9 kb
DDPP64AF3.dll             | 6117.8 kb
ddptrace.dll              | 136.0 kb
ddputils.dll              | 269.0 kb
ddp_ps.dll                | 54.0 kb
ddraw.dll                 | 574.5 kb
ddrawex.dll               | 55.0 kb
DefaultDeviceManager.dll  | 12.0 kb
DefaultHrtfs.bin          | 4128.0 kb
DefaultPrinterProvider.dll | 25.5 kb
DefaultQuestions.json     | 0.8 kb
Defrag.exe                | 183.0 kb
defragproxy.dll           | 19.5 kb
defragres.dll             | 4.5 kb
defragsvc.dll             | 515.5 kb
delegatorprovider.dll     | 26.0 kb
desk.cpl                  | 168.0 kb
deskadp.dll               | 49.5 kb
deskmon.dll               | 47.5 kb
DesktopShellExt.dll       | 95.5 kb
DevDispItemProvider.dll   | 101.5 kb
DeveloperOptionsSettingsHandlers.dll | 64.5 kb
devenum.dll               | 88.8 kb
deviceaccess.dll          | 279.5 kb
deviceassociation.dll     | 46.5 kb
DeviceCensus.exe          | 158.0 kb
DeviceCenter.dll          | 404.0 kb
DeviceDirectoryClient.dll | 106.5 kb
DeviceDisplayStatusManager.dll | 35.0 kb
DeviceDriverRetrievalClient.dll | 34.5 kb
DeviceEject.exe           | 26.5 kb
DeviceElementSource.dll   | 112.5 kb
DeviceEnroller.exe        | 75.5 kb
DeviceMetadataRetrievalClient.dll | 133.5 kb
DevicePairing.dll         | 551.0 kb
DevicePairingFolder.dll   | 206.5 kb
DevicePairingProxy.dll    | 28.5 kb
DevicePairingWizard.exe   | 86.0 kb
DeviceProperties.exe      | 92.0 kb
deviceregistration.dll    | 226.5 kb
DeviceSetupManager.dll    | 201.0 kb
DeviceSetupManagerAPI.dll | 115.5 kb
DeviceSetupStatusProvider.dll | 33.5 kb
DevicesFlowBroker.dll     | 250.0 kb
DeviceUxRes.dll           | 13.0 kb
devinv.dll                | 597.8 kb
devmgmt.msc               | 142.2 kb
devmgr.dll                | 655.5 kb
devobj.dll                | 146.3 kb
DevPropMgr.dll            | 122.5 kb
